DATUM,KOMIS_NALOG
2019-06-01,264
2019-06-03,439.2
2019-06-04,90.6
2019-06-05,320.8
2019-06-06,350.2
2019-06-07,406.6
2019-06-08,180
2019-06-10,519.2
2019-06-11,38.8
2019-06-12,304
2019-06-13,424.2
2019-06-14,420.8
2019-06-15,357.6
2019-06-17,549.6
2019-06-18,68.4
2019-06-19,327.6
2019-06-20,406.8
2019-06-21,452.4
2019-06-22,229.2
2019-06-24,540.4
2019-06-25,65.8
2019-06-26,380.8
2019-06-27,465.6
2019-06-28,329.6
2019-06-29,285.6
2019-07-01,569.6
2019-07-02,83.4
2019-07-03,334
2019-07-04,370.4
2019-07-05,296.2
2019-07-06,231.6
2019-07-08,462.8
2019-07-09,33.2
2019-07-10,291.4
2019-07-11,366.4
2019-07-12,427
2019-07-13,177.6
2019-07-15,377.8
2019-07-16,44
2019-07-17,241.4
2019-07-18,197.8
2019-07-19,432.6
2019-07-20,400.8
2019-07-22,661.2
2019-07-23,192.6
2019-07-24,373.2
2019-07-25,300.8
2019-07-26,437.8
2019-07-27,253.2
2019-07-29,681.2
2019-07-30,38
2019-07-31,283
2019-08-01,345.2
2019-08-02,319.8
2019-08-03,205.2
2019-08-05,635.4
2019-08-06,31
2019-08-07,306
2019-08-08,357.8
2019-08-09,397.2
2019-08-10,338.4
2019-08-12,457.6
2019-08-13,32.2
2019-08-14,280.8
2019-08-15,323.2
2019-08-16,313
2019-08-17,243.6
2019-08-19,677
2019-08-20,45.4
2019-08-21,290
2019-08-22,295.8
2019-08-23,282.2
2019-08-24,487.2
2019-08-26,577.8
2019-08-27,360.8
2019-08-28,363.8
2019-08-29,426.2
2019-08-30,263.8
2019-08-31,364.8
2019-09-02,595.6
2019-09-03,95.6
2019-09-04,285
2019-09-05,307
2019-09-06,251.2
2019-09-07,404.4
2019-09-09,482
2019-09-10,227
2019-09-11,359
2019-09-12,406.8
2019-09-13,414.4
2019-09-14,204
2019-09-16,567.4
2019-09-17,44
2019-09-18,370.6
2019-09-19,430.8
2019-09-20,380
2019-09-21,420
2019-09-23,606
2019-09-24,60
2019-09-25,345.8
2019-09-26,459.8
2019-09-27,469.4
2019-09-28,356.4
2019-09-30,642
2019-10-01,35.2
2019-10-02,342
2019-10-03,393
2019-10-04,418.6
2019-10-05,321.6
2019-10-07,524.2
2019-10-08,38.2
2019-10-09,389.2
2019-10-10,397.6
2019-10-11,407.8
2019-10-12,235.2
2019-10-14,618.4
2019-10-15,53.2
2019-10-16,372
2019-10-17,431
2019-10-18,446.2
2019-10-19,297.6
2019-10-21,578.4
2019-10-22,78.8
2019-10-23,307
2019-10-24,580.6
2019-10-25,471.4
2019-10-26,302.4
2019-10-28,568.2
2019-10-29,53
2019-10-30,383.8
2019-10-31,415.6
2019-11-01,381
2019-11-02,261.6
2019-11-04,445.6
2019-11-05,52.6
2019-11-06,305.8
2019-11-07,457.4
2019-11-08,398.6
2019-11-09,330
2019-11-12,691.8
2019-11-13,135.8
2019-11-14,389.6
2019-11-15,480
2019-11-16,284.4
2019-11-18,606.2
2019-11-19,41.4
2019-11-20,421.4
2019-11-21,475.2
2019-11-22,545.6
2019-11-23,240
2019-11-25,776
2019-11-26,41.4
2019-11-27,428.6
2019-11-28,493.2
2019-11-29,511.8
2019-11-30,242.4
2019-12-01,1.2
2019-12-02,602
2019-12-03,38.4
2019-12-04,378
2019-12-05,414.6
2019-12-06,451
2019-12-07,190.8
2019-12-09,675.6
2019-12-10,60.8
2019-12-11,413.6
2019-12-12,448
2019-12-13,515
2019-12-14,264
2019-12-16,770.6
2019-12-17,77.8
2019-12-18,432
2019-12-19,422.8
2019-12-20,543.8
2019-12-21,244.8
2019-12-23,843.4
2019-12-24,76
2019-12-25,401.8
2019-12-26,391.4
2019-12-27,175.4
2019-12-28,348
2019-12-29,8.4
2019-12-30,640.8
2019-12-31,9.6
2020-01-10,8
2020-01-11,2.4
2020-01-13,353.8
2020-01-14,47.8
2020-01-15,389.8
2020-01-16,418.8
2020-01-17,446.6
2020-01-18,249.6
2020-01-20,697
2020-01-21,59.8
2020-01-22,379.4
2020-01-23,448.8
2020-01-24,480.6
2020-01-25,144
2020-01-27,595.6
2020-01-28,49
2020-01-29,336.8
2020-01-30,451
2020-01-31,493.4
2020-02-01,192
2020-02-03,561.4
2020-02-04,35.2
2020-02-05,272.2
2020-02-06,491.2
2020-02-07,479.2
2020-02-08,160.8
2020-02-10,526.2
2020-02-11,53.6
2020-02-12,380.4
2020-02-13,440.4
2020-02-14,505.6
2020-02-18,583.4
2020-02-19,440
2020-02-20,426.6
2020-02-21,497.4
2020-02-22,138
2020-02-24,622.6
2020-02-25,27.6
2020-02-26,442.6
2020-02-27,492.4
2020-02-28,560.8
2020-02-29,210
2020-03-01,6
2020-03-02,611.2
2020-03-03,26.8
2020-03-04,378
2020-03-05,475.8
2020-03-06,525.6
2020-03-07,152.4
2020-03-09,621.8
2020-03-10,23.6
2020-03-11,395.2
2020-03-12,509
2020-03-13,481.6
2020-03-14,210
2020-03-16,726.8
2020-03-17,25
2020-03-18,404.2
2020-03-19,428.4
2020-03-20,406.8
2020-03-21,180
2020-03-23,436.8
2020-03-24,21.2
2020-03-25,275.8
2020-03-26,283
2020-03-27,280.4
2020-03-28,82.8
2020-03-29,1.2
2020-03-30,387.4
2020-03-31,22.8
2020-04-01,211
2020-04-02,201
2020-04-03,249.8
2020-04-04,120
2020-04-06,361.2
2020-04-07,17.6
2020-04-08,269.6
2020-04-09,300.8
2020-04-10,361.8
2020-04-11,132
2020-04-13,520.2
2020-04-14,18.8
2020-04-15,301.2
2020-04-16,349.8
2020-04-21,351.4
2020-04-22,426
2020-04-23,246.4
2020-04-24,303.4
2020-04-25,154.8
2020-04-27,529.2
2020-04-28,29
2020-04-29,371.6
2020-04-30,358.8
2020-05-01,1.2
2020-05-04,388.6
2020-05-05,322.8
2020-05-06,285.8
2020-05-07,384.2
2020-05-08,310.8
2020-05-09,108
2020-05-11,587.8
2020-05-12,16.8
2020-05-13,321
2020-05-14,381.6
2020-05-15,452.4
2020-05-16,190.8
2020-05-18,576
2020-05-19,20
2020-05-20,352.2
2020-05-21,429.6
2020-05-22,441.6
2020-05-23,184.2
2020-05-25,665.8
2020-05-26,16.8
2020-05-27,339.4
2020-05-28,402
2020-05-29,443.8
2020-05-30,198
2020-06-01,430.2
2020-06-02,14
2020-06-03,274
2020-06-04,373.2
2020-06-05,430.2
2020-06-06,162
2020-06-08,587.2
2020-06-09,32
2020-06-10,362
2020-06-11,467.6
2020-06-12,464.4
2020-06-13,136.8
2020-06-15,626.2
2020-06-16,20.4
2020-06-17,384
2020-06-18,471.2
2020-06-19,452.4
2020-06-20,238.8
2020-06-22,571.2
2020-06-23,35.6
2020-06-24,366.6
2020-06-25,419.2
2020-06-26,432
2020-06-27,175.2
2020-06-29,554.4
2020-06-30,38.8
2020-07-01,277.8
2020-07-02,302.2
2020-07-03,375.6
2020-07-04,151.2
2020-07-06,502.4
2020-07-07,28
2020-07-08,327.6
2020-07-09,392
2020-07-10,442.6
2020-07-11,162
2020-07-13,313
2020-07-14,18
2020-07-15,424.2
2020-07-16,431.2
2020-07-17,388.4
2020-07-18,213.6
2020-07-20,460.6
2020-07-21,23.6
2020-07-22,314.4
2020-07-23,366
2020-07-24,421.2
2020-07-25,122.4
2020-07-27,579.8
2020-07-28,28.6
2020-07-29,368.8
2020-07-30,365.2
2020-07-31,373.2
2020-08-01,91.2
2020-08-03,385.2
2020-08-04,25.8
2020-08-05,303.6
2020-08-06,398.4
2020-08-07,370.8
2020-08-08,138
2020-08-10,541.2
2020-08-11,31
2020-08-12,364.8
2020-08-13,423
2020-08-14,399.6
2020-08-15,109.2
2020-08-17,588
2020-08-18,28.8
2020-08-19,393.6
2020-08-20,470.8
2020-08-21,496.4
2020-08-22,213.6
2020-08-24,606.2
2020-08-25,30.4
2020-08-26,396.8
2020-08-27,434
2020-08-28,417
2020-08-29,110.4
2020-08-31,557.6
2020-09-01,24.4
2020-09-02,268.4
2020-09-03,347.6
2020-09-04,352.8
2020-09-05,187.2
2020-09-07,552
2020-09-08,21.2
2020-09-09,360.2
2020-09-10,437.2
2020-09-11,405.4
2020-09-12,129.6
2020-09-14,591.6
2020-09-15,22.8
2020-09-16,405.6
2020-09-17,480
2020-09-18,446.2
2020-09-19,231.4
2020-09-21,735.8
2020-09-22,51.6
2020-09-23,366.8
2020-09-24,454.8
2020-09-25,432.4
2020-09-26,176.4
2020-09-28,650
2020-09-29,22.2
2020-09-30,392.8
2020-10-01,369.4
2020-10-02,337.8
2020-10-03,196.8
2020-10-05,570.6
2020-10-06,18.8
2020-10-07,341
2020-10-08,418.8
2020-10-09,436.8
2020-10-10,129.6
2020-10-12,694.2
2020-10-13,128.8
2020-10-14,385.8
2020-10-15,472.2
2020-10-16,451.4
2020-10-17,202.8
2020-10-19,645.2
2020-10-20,40
2020-10-21,349.6
2020-10-22,428.2
2020-10-23,468.6
2020-10-24,150
2020-10-26,614.8
2020-10-27,23.2
2020-10-28,383.2
2020-10-29,414
2020-10-30,429.2
2020-10-31,216
2020-11-02,496
2020-11-03,37
2020-11-04,354
2020-11-05,418.6
2020-11-06,438.6
2020-11-07,135.6
2020-11-09,619.8
2020-11-10,46.2
2020-11-11,360
2020-11-12,435.2
2020-11-13,454.2
2020-11-14,253.2
2020-11-16,639.2
2020-11-17,15.2
2020-11-18,373.6
2020-11-19,401.6
2020-11-20,404
2020-11-21,90
2020-11-23,533.6
2020-11-24,39.6
2020-11-25,356.2
2020-11-26,424.6
2020-11-27,438.2
2020-11-28,236.4
2020-11-30,607.4
2020-12-01,27.2
2020-12-02,286.8
2020-12-03,334.4
2020-12-04,360
2020-12-05,108
2020-12-07,519
2020-12-08,30
2020-12-09,331.2
2020-12-10,405.6
2020-12-11,454
2020-12-12,207.6
2020-12-14,639.6
2020-12-15,22.4
2020-12-16,430.2
2020-12-17,413.8
2020-12-18,504
2020-12-19,110.4
2020-12-21,622.8
2020-12-22,21.2
2020-12-23,417.6
2020-12-24,452.2
2020-12-25,432
2020-12-26,229.2
2020-12-28,773.8
2020-12-29,28.4
2020-12-30,353.4
2020-12-31,254.4
2021-01-05,2.4
2021-01-06,50.2
2021-01-08,180
2021-01-09,4.8
2021-01-11,41.4
2021-01-12,20.2
2021-01-13,256.6
2021-01-14,369.6
2021-01-15,457.2
2021-01-16,189.6
2021-01-18,625
2021-01-19,19
2021-01-20,314.4
2021-01-21,376.4
2021-01-22,374.4
2021-01-23,96
2021-01-25,588.6
2021-01-26,34.4
2021-01-27,371.4
2021-01-28,400
2021-01-29,425.2
2021-01-30,190.8
2021-02-01,506.4
2021-02-02,17
2021-02-03,328.2
2021-02-04,336.8
2021-02-05,424
2021-02-06,121.2
2021-02-08,581.2
2021-02-09,31.2
2021-02-10,394.4
2021-02-11,440.6
2021-02-12,463.2
2021-02-13,216
2021-02-15,1.2
2021-02-17,628.8
2021-02-18,183.6
2021-02-19,364.4
2021-02-20,124.8
2021-02-22,606.8
2021-02-23,19.2
2021-02-24,415.2
2021-02-25,449.6
2021-02-26,451.2
2021-02-27,199.2
2021-03-01,500.2
2021-03-02,15.4
2021-03-03,327.6
2021-03-04,388.8
2021-03-05,416.8
2021-03-06,112.8
2021-03-08,565
2021-03-09,31
2021-03-10,344
2021-03-11,423.4
2021-03-12,392.2
2021-03-13,210
2021-03-15,565.6
2021-03-16,39.6
2021-03-17,340.8
2021-03-18,359.2
2021-03-19,403.2
2021-03-20,140.4
2021-03-22,577
2021-03-23,30.2
2021-03-24,373.2
2021-03-25,400.6
2021-03-26,427.2
2021-03-27,208.8
2021-03-29,593.6
2021-03-30,42.6
2021-03-31,355.8
2021-04-01,364.6
2021-04-02,351.4
2021-04-03,87.6
2021-04-05,495.2
2021-04-06,22.6
2021-04-07,307.8
2021-04-08,387.4
2021-04-09,368.4
2021-04-10,147.6
2021-04-12,540
2021-04-13,15.2
2021-04-14,362.6
2021-04-15,386.4
2021-04-16,437.6
2021-04-17,238.8
2021-04-19,540.2
2021-04-20,20.8
2021-04-21,323.6
2021-04-22,422.2
2021-04-23,374.4
2021-04-24,123.6
2021-04-26,706
2021-04-27,24.4
2021-04-28,399.6
2021-04-29,390
2021-04-30,300
2021-05-04,1.2
2021-05-05,10.8
2021-05-06,175.8
2021-05-07,257.2
2021-05-08,170.4
2021-05-10,433.2
2021-05-11,17.8
2021-05-12,344.4
2021-05-13,383.8
2021-05-14,433.6
2021-05-15,116.4
2021-05-17,582
2021-05-18,19.8
2021-05-19,379
2021-05-20,426.6
2021-05-21,434.6
2021-05-22,168
2021-05-24,578.6
2021-05-25,31.2
2021-05-26,331.2
2021-05-27,415.6
2021-05-28,414.6
2021-05-29,134.4
2021-05-31,507.4
2021-06-01,17.6
2021-06-02,273.2
2021-06-03,361
2021-06-04,390
2021-06-05,112.8
2021-06-07,490.4
2021-06-08,12.6
2021-06-09,322.6
2021-06-10,378.6
2021-06-11,399.4
2021-06-12,237.6
2021-06-14,520.4
2021-06-15,23.8
2021-06-16,382.4
2021-06-17,436.6
2021-06-18,424.6
2021-06-19,111.6
2021-06-21,581.2
2021-06-22,24.6
2021-06-23,321.6
2021-06-24,383.6
2021-06-25,399.2
2021-06-26,150
2021-06-28,578.4
2021-06-29,16.6
2021-06-30,379
2021-07-01,304.6
2021-07-02,294.6
2021-07-03,104.4
2021-07-05,477.6
2021-07-06,16.8
2021-07-07,309.2
2021-07-08,386.2
2021-07-09,407.6
2021-07-10,105.6
2021-07-12,474.6
2021-07-13,8.8
2021-07-14,329.8
2021-07-15,379.2
2021-07-16,355.2
2021-07-17,218.4
2021-07-19,568.8
2021-07-20,20.4
2021-07-21,356.2
2021-07-22,366.6
2021-07-23,403.6
2021-07-24,98.4
2021-07-26,513.2
2021-07-27,32
2021-07-28,300
2021-07-29,376.8
2021-07-30,351.4
2021-07-31,67.2
2021-08-02,470.2
2021-08-03,20.2
2021-08-04,283.2
2021-08-05,354
2021-08-06,343.2
2021-08-07,147.6
2021-08-09,526
2021-08-10,20.2
2021-08-11,355
2021-08-12,381.2
2021-08-13,329.8
2021-08-14,105.6
2021-08-16,572
2021-08-17,23.8
2021-08-18,391.8
2021-08-19,436.8
2021-08-20,507.4
2021-08-21,222
2021-08-23,671.8
2021-08-24,41
2021-08-25,435
2021-08-26,459
2021-08-27,428.6
2021-08-28,114
2021-08-30,342.6
2021-08-31,63.6
2021-09-01,246.8
2021-09-02,461.2
2021-09-03,489.8
2021-09-04,249.6
2021-09-06,564.4
2021-09-07,138
2021-09-08,385.4
2021-09-09,379
2021-09-10,365.4
2021-09-11,111.6
2021-09-13,499.8
2021-09-14,26.6
2021-09-15,435.4
2021-09-16,446.2
2021-09-17,328.8
2021-09-18,206.4
2021-09-20,804
2021-09-21,76.8
2021-09-22,377.8
2021-09-23,444
2021-09-24,415
2021-09-25,122.4
2021-09-27,637.2
2021-09-28,19.8
2021-09-29,399.6
2021-09-30,289
2021-10-01,273.2
2021-10-02,314.4
2021-10-04,652
2021-10-05,37.4
2021-10-06,389.6
2021-10-07,358.4
2021-10-08,380.8
2021-10-09,102
2021-10-11,620.4
2021-10-12,24
2021-10-13,398
2021-10-14,412.4
2021-10-15,391.2
2021-10-16,168
2021-10-18,545.4
2021-10-19,28.6
2021-10-20,365.2
2021-10-21,430.4
2021-10-22,396.8
2021-10-23,157.2
2021-10-25,622.4
2021-10-26,32.6
2021-10-27,382.6
2021-10-28,384.8
2021-10-29,491.4
2021-10-30,255.6
2021-11-01,513.6
2021-11-02,12.8
2021-11-03,331.6
2021-11-04,449.2
2021-11-05,428
2021-11-06,135.6
2021-11-08,636
2021-11-09,22.4
2021-11-10,442
2021-11-11,416.4
2021-11-12,480.4
2021-11-13,176.4
2021-11-15,565.8
2021-11-16,40.6
2021-11-17,401.2
2021-11-18,415.2
2021-11-19,463.4
2021-11-20,150
2021-11-21,1
2021-11-22,650.4
2021-11-23,32.2
2021-11-24,482.2
2021-11-25,489.2
2021-11-26,525
2021-11-27,242.4
2021-11-29,678.6
2021-11-30,24
2021-12-01,360.8
2021-12-02,371
2021-12-03,326.6
2021-12-04,105.6
2021-12-06,579.8
2021-12-07,19.6
2021-12-08,354.6
2021-12-09,437.6
2021-12-10,413.4
2021-12-11,252
2021-12-13,665.2
2021-12-14,22.4
2021-12-15,416.8
2021-12-16,450.6
2021-12-17,369.6
2021-12-18,133.2
2021-12-20,726.8
2021-12-21,41.6
2021-12-22,432.4
2021-12-23,364.6
2021-12-24,507.8
2021-12-27,356.2
2021-12-28,545.8
2021-12-29,554.6
2021-12-30,343
2021-12-31,207.6
2022-01-05,10.2
2022-01-06,171.6
2022-01-07,1.2
2022-01-08,81.6
2022-01-10,348
2022-01-11,29
2022-01-12,299.6
2022-01-13,234.6
2022-01-14,180.6
2022-01-15,145.2
2022-01-17,224
2022-01-18,30.8
2022-01-19,363.4
2022-01-20,459.6
2022-01-21,296.8
2022-01-22,126
2022-01-24,704.2
2022-01-25,23.8
2022-01-26,342.6
2022-01-27,358.6
2022-01-28,194.8
2022-01-29,282
2022-01-31,552.2
2022-02-01,17.4
2022-02-02,327
2022-02-03,349
2022-02-04,364
2022-02-05,85.2
2022-02-07,520.4
2022-02-08,23.8
2022-02-09,381.4
2022-02-10,407.6
2022-02-11,406
2022-02-12,188.4
2022-02-14,677.6
2022-02-15,1.2
2022-02-16,338.4
2022-02-17,3.6
2022-02-18,561.4
2022-02-19,147.6
2022-02-21,579.2
2022-02-22,19.2
2022-02-23,412.2
2022-02-24,428.2
2022-02-25,446
2022-02-26,200.4
2022-02-28,645.8
2022-03-01,36
2022-03-02,350.4
2022-03-03,313.2
2022-03-04,225.6
2022-03-05,171.6
2022-03-07,759.6
2022-03-08,22.8
2022-03-09,283.2
2022-03-10,202.8
2022-03-11,259.2
2022-03-12,374.4
2022-03-14,382.8
2022-03-15,187.2
2022-03-16,252
2022-03-17,212.4
2022-03-18,211.2
2022-03-19,368.4
2022-03-21,409.2
2022-03-22,258
2022-03-23,284.4
2022-03-24,343.2
2022-03-25,135.6
2022-03-26,318
2022-03-28,410.4
